MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
LES ARTICLES FDJ PASSENT EN POSITIF EN CAISSE AU LIEU D ETRE EN NEGATIF;Le magasin nous contact car lors du scan d'un article FDJ celui passe en prix positif sur la caisse au lieu d'etre en negatif; ; ; ; ;METI STORE-FR;05 - Demande de service; ;Il faut envoyer le dossier chez METI pour vérification de leur côté et renvoie des articles impactés. Si METI ne peut rien faire il faut que le magasin contact son CSI.;P4;SYM0597; ;23/01/2025; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MODIFICATION APPEL PRIX (REFUNI);Le magasin nous contact conçernant les appels prix qui ne passe pas en caisse suite au passage sous REFUNI;;;;;VLP PROXI-FR;05 - Demande de service;;Escalader le dossier au CSI sur CARE + MAIL puis clôture du CARE;P4;SYM0599;;06/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;FR METIER N2 CSI PROXIMITE
REPRISE TICKET EN ATTENTE FAIT REVENIR LA CAISSE SUR LE BUREAU;Lors d'une reprise ticket en attente sur une caisse l'encaissement se ferme tout seul et on revient sur le bureau;;;;;VLP PROXI-FR;01 - Défaillance applicative;;"Il faut expliquer au magasin que ce ticket est corrompu et qu'il ne doit pas être reprit. Le ticket peut être ressaisie. Il faudra forcer le départ car message ""ticket en attente"" va s'afficher à l'écran.";P3;SYM0600;;07/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;
CARTE PASS NE REMONTE PAS EN BANQUE;Le magasin encaisse des carte PASS mais celle-ci n'arrive pas à la banque du magasin;;;;;AXIS-FR;01 - Défaillance applicative;;Redirection du magasin vers Carrefour Banque (fr_banque_regulcomptaclient@carrefour.com);P3;SYM0601;;12/02/2025;;;;;;AXIS-FR;Monetique \ E-portal \ Financement;;FR METIER N4 MPT CARREFOUR PAY
LES TICKETS DE PREVELEMENT CLOTURE (ticket Z) SORTENT LENTEMENT;Lors du depart long les tickets de prelevement cloture (ticket z) sortent lentement;;;;;VLP PROXI-FR;01 - Défaillance applicative;;Redirection du magasin vers son CSI. On peut controler le temps des tickets Z dans le journal caisse en journée précédente. Il s'agit d'un problème de branchement au niveau des caisses (mini switch);P4;SYM0602;;14/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR METIER N2 CSI PROXIMITE
CAISSE INDIQUE INSERER DOCUMENTS;"Le magasin nous contact car la caisse indique ""Inserer document""";;;;;VLP PROXI-FR;04 - Manque de formation utilisateur;;Insertion du papier dans l'imprimante;P4;SYM0603;;17/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Caisse Bloquee \ Erreur Impirmante;;
DEMANDE DES INFORMATIONS SUR LE FONCTIONNEMENT DE VLP;Demande information sur le fonctionnement VLP;;;;;VLP PROXI-FR;04 - Manque de formation utilisateur;;Donner l'explication au magasin ;P4;SYM0604;;19/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Application \ Demande d'acces;;
IMPRIMANTE FONCTIONNE MAIS NE COUPE PLUS LES TICKETS;Imprimante fonctionne mais ne coupe plus les tickets de caisse;;;;;MATERIEL_CAISSE-FR;09 - Materiel à remplacer;;Faire une DI de l'imprimante;P4;SYM0605;;19/02/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Reparation / Remplacement;;
TPE ETEINT;Tpe eteint;;;;;MATERIEL_CAISSE-FR;08 - Matériel défectueux;;verification des branchements + test si KO DI;P4;SYM0606;;19/02/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE classique \ Reparation / Remplacement;;
ECRAN DE CAISSE ETEINT;ecran de la caisse eteint;;;;;MATERIEL_CAISSE-FR;08 - Matériel défectueux;;verification des branchements + test si KO DI;P4;SYM0607;;19/02/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;;
IMPRIMANTE ETEINTE;Imprimante eteinte;;;;;MATERIEL_CAISSE-FR;08 - Matériel défectueux;;verification des branchements + test si KO DI;P4;SYM0608;;19/02/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Reparation / Remplacement;;
DOUCHETTE ETEINTE;Douchette eteinte;;;;;MATERIEL_CAISSE-FR;08 - Matériel défectueux;;verification des branchements + test si KO DI;P4;SYM0609;;19/02/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ Douchette \ Reparation / Remplacement;;
ERREUR DATE SYSTÈME;La date systeme de la caisse n'est pas bonne;;;;;VLP PROXI-FR;01 - Défaillance applicative;;904 + Relance session = OK ;P4;SYM0610;;27/02/2025;;;;;;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LA LISTE DES APPELES PRIX A ETE SUPPRIMEE;Une partie de la liste pour les appeles prix a ete supprimee;;;;;VLP PROXI-FR;04 - Manque de formation utilisateur;;Il faut arrêter les services sur le serveur puis récupérer les bases LARTLS0.DBF / LARTLS01.NTX / LARTLS1.DBF / LARTLS11.NTX du dossier J-1 et mettre ces bases dans le dossier JourJ . Réindexassions des bases VLP et vérifier que c'est OK;P4;SYM0611;;03/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE POURQUOI CERTAIN ARTICLE SONT ELIGIBLE EN TICKET RESTAURANT COMME L ALCOOL;Demande pourquoi certain article sont eligibles en ticket restaurant comme l'alcool;;;;;VLP PROXI-FR;05 - Demande de service;;C'est Carrefour qui gère l'eligibilité des tickets restaurant pour les articles. Le magasin peut voir avec son CSI;P4;SYM0612;;04/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;
CA RAYON NE REMONTE PAS;Le CA par RAYON ne remonte et il y a des journaux flag a N sur VLP;;;;;VLP PROXI-FR;01 - Défaillance applicative;;"Verifier la cloture, Vérifier le services SERVEUR, Verifier si les services VLP sont lances ; Couper VLP > réindexer les bases > lancement dans un CMD la commande : ""start /wait majsupervlp STANDARD"" > Relancer les taches VLP";P4;SYM0613;;07/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
L'ECRAN CAISSE N'EST PAS A LA BONNE RESOLUTION;L'ecran de la caisse n'est pas à la bonne resolution;;;;;VLP PROXI-FR;05 - Demande de service;;Changement de la résolution en 1024x768 ;P4;SYM0614;;13/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ Ecran caissiere;;
L'IMPRIMANTE CAISSE NE SORT PLUS LES CHEQUES OU FACTURES;Les factures ou cheques ne s'impirme plus en caisse;;;;;MATERIEL_CAISSE-FR;08 - Matériel défectueux;;Rempalcement du Ruban encreure si Ko DI ;P4;SYM0615;;18/03/2025;;;;;;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Reparation / Remplacement;;
REGLEMENT LYF NON REMONTE SUR VLP;Reglement LYF non remonte sur VLP;;;;;VLP PROXI-FR;01 - Défaillance applicative;;Il faut verifier qu'il y ait bien des fichiers NEOS en .KO (D:\POS\Vlprojet\Pdv\Donnees\Trans\Outpath\SAVE\) et si il y'en a escalade N2 pour réintégration;P4;SYM0616;;19/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MDR INACTIF EN CAISSE LORS D'UN REGLEMENT CAGNOTTE FIDELITE;MDR inactif quand le caissier appuie sur la touche cagnotte fidelite;;;;;VLP PROXI-FR;05 - Demande de service;;"Il faut vérifier si la cagnotte du client qui est identifié est à 0e. Si la cagnotte est à 0e et qu'on essaye de lancer ce mode de règlement la caisse nous indique ""MDR inactif"" car pas possible de décagnotter. Le mode de règlement peut être vérifié aussi sur VLP";P4;SYM0617;;20/03/2025;;;;;;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;
PRIX ARTICLE NON A JOUR SUR VLP;Le prix de l'article n'est pas le bon sur VLP;;;;;METI STORE-FR;05 - Demande de service;;Si le prix de l'article n'est pas le bon sur VLP il faut demander à METI de le renvoyer au bon prix;P4;SYM0618;;05/04/2025;;;;;;VLP PROXI-FR;Encaissement \ Article \ Prix errone;;
APPEL JILITI POUR CHANGEMENT SERVEUR OU HDD VM1;Appel Jiliti pour un changement de serveur ou changement HDD VM1;;;;;MATERIEL_SERVEUR-FR;02 - Défaillance de l'infrastructure;;Assistance technicien JILITI suivre la procedure en cours;P4;SYM0619;;08/04/2025;;;;;;MATERIEL_SERVEUR-FR;Materiel Serveur \ Serveur \ Changement de disque;;
Imprimante OFFLINE;Impression financier KO à partir de l'imprimante bureautique RICOH (Imprimante OFFLINE) ;Bascule imprimante;Encaissement;Serveur caisse ;Encaissement \ Serveur caisse \ Bascule imprimante;IMPRIMANTE RICOH-FR;08 - Matériel défectueux;Imprimante OFFLINE;Desactivation du SNMP dans le port de l'imprimante = OK ;P4;SYM0620; ;10-avr; ; ;\\si-fichbr-01\symag\SVP\Outils\MATRICE\Documentation\IMPRIMANTE HPLaser en OFFLINE.pdf; ; ;IMPRIMANTE RICOH-FR;Materiel Imprimante;50496738; 
MAJ DRIVER IMPRIMANTE BUREAUTIQUE;MAJ driver imprimante bureau HP ;Imprimante ticket;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Imprimante ticket;IMPRIMANTE RICOH-FR;08 - Matériel défectueux;IMP KO;A envoyer à la cellule validation par mail + affectation CARE vers le backend.;P3;SYM0621; ;10/04/2025; ; ; ; ; ;IMPRIMANTE RICOH-FR;Materiel Imprimante;; 
;;;;;;;;;;;SYM0622;;;;;;;;;;;
;;;;;;;;;;;SYM0623;;;;;;;;;;;
;;;;;;;;;;;SYM0624;;;;;;;;;;;
;;;;;;;;;;;SYM0625;;;;;;;;;;;
;;;;;;;;;;;SYM0626;;;;;;;;;;;
;;;;;;;;;;;SYM0627;;;;;;;;;;;
;;;;;;;;;;;SYM0628;;;;;;;;;;;
;;;;;;;;;;;SYM0629;;;;;;;;;;;
;;;;;;;;;;;SYM0630;;;;;;;;;;;
;;;;;;;;;;;SYM0631;;;;;;;;;;;
;;;;;;;;;;;SYM0632;;;;;;;;;;;
;;;;;;;;;;;SYM0633;;;;;;;;;;;
;;;;;;;;;;;SYM0634;;;;;;;;;;;
;;;;;;;;;;;SYM0635;;;;;;;;;;;
;;;;;;;;;;;SYM0636;;;;;;;;;;;
;;;;;;;;;;;SYM0637;;;;;;;;;;;
;;;;;;;;;;;SYM0638;;;;;;;;;;;
;;;;;;;;;;;SYM0639;;;;;;;;;;;
;;;;;;;;;;;SYM0640;;;;;;;;;;;
;;;;;;;;;;;SYM0641;;;;;;;;;;;
;;;;;;;;;;;SYM0642;;;;;;;;;;;
;;;;;;;;;;;SYM0643;;;;;;;;;;;
;;;;;;;;;;;SYM0644;;;;;;;;;;;
;;;;;;;;;;;SYM0645;;;;;;;;;;;
;;;;;;;;;;;SYM0646;;;;;;;;;;;
;;;;;;;;;;;SYM0647;;;;;;;;;;;
;;;;;;;;;;;SYM0648;;;;;;;;;;;
;;;;;;;;;;;SYM0649;;;;;;;;;;;
;;;;;;;;;;;SYM0650;;;;;;;;;;;
;;;;;;;;;;;SYM0651;;;;;;;;;;;
;;;;;;;;;;;SYM0652;;;;;;;;;;;
;;;;;;;;;;;SYM0653;;;;;;;;;;;
;;;;;;;;;;;SYM0654;;;;;;;;;;;
;;;;;;;;;;;SYM0655;;;;;;;;;;;
;;;;;;;;;;;SYM0656;;;;;;;;;;;
;;;;;;;;;;;SYM0657;;;;;;;;;;;
;;;;;;;;;;;SYM0658;;;;;;;;;;;
;;;;;;;;;;;SYM0659;;;;;;;;;;;
;;;;;;;;;;;SYM0660;;;;;;;;;;;
;;;;;;;;;;;SYM0661;;;;;;;;;;;
;;;;;;;;;;;SYM0662;;;;;;;;;;;
;;;;;;;;;;;SYM0663;;;;;;;;;;;
;;;;;;;;;;;SYM0664;;;;;;;;;;;
;;;;;;;;;;;SYM0665;;;;;;;;;;;
;;;;;;;;;;;SYM0666;;;;;;;;;;;
;;;;;;;;;;;SYM0667;;;;;;;;;;;
;;;;;;;;;;;SYM0668;;;;;;;;;;;
;;;;;;;;;;;SYM0669;;;;;;;;;;;
;;;;;;;;;;;SYM0670;;;;;;;;;;;
;;;;;;;;;;;SYM0671;;;;;;;;;;;
;;;;;;;;;;;SYM0672;;;;;;;;;;;
;;;;;;;;;;;SYM0673;;;;;;;;;;;
;;;;;;;;;;;SYM0674;;;;;;;;;;;
;;;;;;;;;;;SYM0675;;;;;;;;;;;
;;;;;;;;;;;SYM0676;;;;;;;;;;;
;;;;;;;;;;;SYM0677;;;;;;;;;;;
;;;;;;;;;;;SYM0678;;;;;;;;;;;
;;;;;;;;;;;SYM0679;;;;;;;;;;;
;;;;;;;;;;;SYM0680;;;;;;;;;;;
;;;;;;;;;;;SYM0681;;;;;;;;;;;
;;;;;;;;;;;SYM0682;;;;;;;;;;;
;;;;;;;;;;;SYM0683;;;;;;;;;;;
;;;;;;;;;;;SYM0684;;;;;;;;;;;
;;;;;;;;;;;SYM0685;;;;;;;;;;;
;;;;;;;;;;;SYM0686;;;;;;;;;;;
;;;;;;;;;;;SYM0687;;;;;;;;;;;
;;;;;;;;;;;SYM0688;;;;;;;;;;;
;;;;;;;;;;;SYM0689;;;;;;;;;;;
;;;;;;;;;;;SYM0690;;;;;;;;;;;
;;;;;;;;;;;SYM0691;;;;;;;;;;;
;;;;;;;;;;;SYM0692;;;;;;;;;;;
;;;;;;;;;;;SYM0693;;;;;;;;;;;
;;;;;;;;;;;SYM0694;;;;;;;;;;;
;;;;;;;;;;;SYM0695;;;;;;;;;;;
;;;;;;;;;;;SYM0696;;;;;;;;;;;
;;;;;;;;;;;SYM0697;;;;;;;;;;;
;;;;;;;;;;;SYM0698;;;;;;;;;;;
;;;;;;;;;;;SYM0699;;;;;;;;;;;
;;;;;;;;;;;SYM0700;;;;;;;;;;;
;;;;;;;;;;;SYM0701;;;;;;;;;;;
;;;;;;;;;;;SYM0702;;;;;;;;;;;
;;;;;;;;;;;SYM0703;;;;;;;;;;;
;;;;;;;;;;;SYM0704;;;;;;;;;;;
;;;;;;;;;;;SYM0705;;;;;;;;;;;
;;;;;;;;;;;SYM0706;;;;;;;;;;;
;;;;;;;;;;;SYM0707;;;;;;;;;;;
;;;;;;;;;;;SYM0708;;;;;;;;;;;
;;;;;;;;;;;SYM0709;;;;;;;;;;;
;;;;;;;;;;;SYM0710;;;;;;;;;;;
;;;;;;;;;;;SYM0711;;;;;;;;;;;
;;;;;;;;;;;SYM0712;;;;;;;;;;;
;;;;;;;;;;;SYM0713;;;;;;;;;;;
;;;;;;;;;;;SYM0714;;;;;;;;;;;
;;;;;;;;;;;SYM0715;;;;;;;;;;;
;;;;;;;;;;;SYM0716;;;;;;;;;;;
;;;;;;;;;;;SYM0717;;;;;;;;;;;
;;;;;;;;;;;SYM0718;;;;;;;;;;;
;;;;;;;;;;;SYM0719;;;;;;;;;;;
;;;;;;;;;;;SYM0720;;;;;;;;;;;
;;;;;;;;;;;SYM0721;;;;;;;;;;;
;;;;;;;;;;;SYM0722;;;;;;;;;;;
;;;;;;;;;;;SYM0723;;;;;;;;;;;
;;;;;;;;;;;SYM0724;;;;;;;;;;;
;;;;;;;;;;;SYM0725;;;;;;;;;;;
;;;;;;;;;;;SYM0726;;;;;;;;;;;
;;;;;;;;;;;SYM0727;;;;;;;;;;;
;;;;;;;;;;;SYM0728;;;;;;;;;;;
;;;;;;;;;;;SYM0729;;;;;;;;;;;
;;;;;;;;;;;SYM0730;;;;;;;;;;;
;;;;;;;;;;;SYM0731;;;;;;;;;;;
;;;;;;;;;;;SYM0732;;;;;;;;;;;
;;;;;;;;;;;SYM0733;;;;;;;;;;;
;;;;;;;;;;;SYM0734;;;;;;;;;;;
;;;;;;;;;;;SYM0735;;;;;;;;;;;
;;;;;;;;;;;SYM0736;;;;;;;;;;;
;;;;;;;;;;;SYM0737;;;;;;;;;;;
;;;;;;;;;;;SYM0738;;;;;;;;;;;
;;;;;;;;;;;SYM0739;;;;;;;;;;;
;;;;;;;;;;;SYM0740;;;;;;;;;;;
;;;;;;;;;;;SYM0741;;;;;;;;;;;
;;;;;;;;;;;SYM0742;;;;;;;;;;;
;;;;;;;;;;;SYM0743;;;;;;;;;;;
;;;;;;;;;;;SYM0744;;;;;;;;;;;
;;;;;;;;;;;SYM0745;;;;;;;;;;;
;;;;;;;;;;;SYM0746;;;;;;;;;;;
;;;;;;;;;;;SYM0747;;;;;;;;;;;
;;;;;;;;;;;SYM0748;;;;;;;;;;;
;;;;;;;;;;;SYM0749;;;;;;;;;;;
;;;;;;;;;;;SYM0750;;;;;;;;;;;
;;;;;;;;;;;SYM0751;;;;;;;;;;;
;;;;;;;;;;;SYM0752;;;;;;;;;;;
;;;;;;;;;;;SYM0753;;;;;;;;;;;
;;;;;;;;;;;SYM0754;;;;;;;;;;;
;;;;;;;;;;;SYM0755;;;;;;;;;;;
;;;;;;;;;;;SYM0756;;;;;;;;;;;
;;;;;;;;;;;SYM0757;;;;;;;;;;;
;;;;;;;;;;;SYM0758;;;;;;;;;;;
;;;;;;;;;;;SYM0759;;;;;;;;;;;
;;;;;;;;;;;SYM0760;;;;;;;;;;;
;;;;;;;;;;;SYM0761;;;;;;;;;;;
;;;;;;;;;;;SYM0000;;;;;;;;;;;
;;;;;;;;;;;SYM000;;;;;;;;;;;
;;;;;;;;;;;SYM00;;;;;;;;;;;
;;;;;;;;;;;SYM0;;;;;;;;;;;
